Count,Time_Elapsed,Average_Time,Capture_Time,BayerToRGB,Vec_Rec_Time,Memcpy_Rec_Time,Image saving,TotalTime 
16584,2.5429,1.70321,1.46954,0.072823,0.48287,0.460166,0,16.8913
16584,2.54454,1.70318,0.545037,0.085603,0.448318,0.427793,0,2.55981
16584,2.54625,1.70318,0.651155,0.091098,0.44193,0.42685,0,1.59048
16584,2.54787,1.70312,0.590987,0.088298,0.446493,0.44742,0,1.68532
16584,2.54954,1.7031,0.607544,0.093146,0.448712,0.438292,0,1.64555
16584,2.55121,1.70308,0.611155,0.093735,0.441072,0.436843,0,1.66962
16584,2.55287,1.70305,0.607967,0.098741,0.497847,0.445843,0,1.65735
16584,2.55453,1.70302,0.55095,0.082125,0.395726,0.438305,0,1.73424
16584,2.55622,1.70301,0.689467,0.097622,0.442808,0.43151,0,1.5391
16584,2.55789,1.70299,0.582408,0.127139,0.473047,0.4854,0,1.74221
16584,2.55954,1.70295,0.031363,0.086983,0.459691,0.445034,0,2.24135
16584,2.56118,1.70291,0.577322,0.09115,0.449918,0.44585,0,1.09081
16584,2.56285,1.70289,0.568711,0.094049,0.44519,0.466455,0,1.67078
16584,2.56455,1.70289,0.614191,0.094696,0.546219,0.481385,0,1.654
16584,2.56618,1.70284,0.424115,0.095121,0.45608,0.438091,0,1.82057
16584,2.56784,1.70281,0.59708,0.097435,0.456105,0.496541,0,1.48751
16584,2.5695,1.70278,0.528212,0.096031,0.459188,0.461248,0,1.72732
16584,2.57119,1.70278,0.610313,0.096079,0.467921,0.463253,0,1.61471
16584,2.57281,1.70272,0.529853,0.079426,0.484306,0.477983,0,1.71518
16584,2.57449,1.7027,0.554694,0.091513,0.444912,1.24005,0,1.63917
16584,2.57637,1.70282,0.030713,0.091306,0.449673,0.433543,0,2.40715
16584,2.5778,1.70264,0.384603,0.085605,0.444529,0.44243,0,1.08468
16584,2.57947,1.70262,0.613369,0.087539,0.449351,0.447126,0,1.43332
16584,2.58113,1.70259,0.603742,0.090195,0.452496,0.442897,0,1.67087
16585,2.5828,1.70257,0.606769,0.088475,0.452954,0.434792,0,1.66536
16585,2.58446,1.70254,0.612766,0.086931,0.452278,0.435221,0,1.65714
16585,2.58613,1.70252,0.617384,0.09268,0.452336,0.431605,0,1.65914
16585,2.5878,1.7025,0.620257,0.090744,0.449991,0.431906,0,1.67308
16585,2.58944,1.70246,0.593295,0.090112,0.454018,0.981917,0,1.66617
16585,2.59111,1.70244,0.071445,0.079966,1.22934,0.446056,0,2.19842
16585,2.59296,1.70254,0.030405,0.072015,0.493204,0.439422,0,1.90091
16585,2.59444,1.70239,0.373302,0.084376,0.463665,0.43765,0,1.12177
16585,2.5961,1.70236,0.595652,0.089839,0.451163,0.442219,0,1.43288
16585,2.59781,1.70236,0.647672,0.095005,0.468268,0.449092,0,1.64925
16585,2.59945,1.70233,0.55941,0.091251,0.462088,0.436101,0,1.7409
16585,2.60111,1.7023,0.587737,0.089786,0.465848,0.448313,0,1.62872
16585,2.60278,1.70228,0.593063,0.089874,0.471285,0.453142,0,1.66663
16585,2.60442,1.70223,0.53771,0.093052,0.459905,0.451009,0,1.68626
16585,2.60608,1.70221,0.587907,0.09737,0.482689,0.455771,0,1.61201
16585,2.60806,1.70239,0.876828,0.081349,0.511126,1.11201,0,1.70106
16585,2.60988,1.70246,0.026191,0.093455,0.481471,0.50957,0,2.65894
16585,2.61107,1.70213,0.033416,0.079498,0.468089,0.476458,0,1.20025
16585,2.61273,1.7021,0.55405,0.092623,0.449969,0.442014,0,1.1205
16585,2.61439,1.70207,0.594104,0.092971,0.473374,0.486781,0,1.62021
16585,2.61608,1.70207,0.566337,0.094093,0.454082,0.439585,0,1.71873
16585,2.61775,1.70205,0.605368,0.092268,0.51351,0.442186,0,1.63081
16585,2.6194,1.70201,0.528117,0.090828,0.465089,0.487411,0,1.72701
16585,2.62109,1.702,0.572302,0.096591,0.469759,0.455518,0,1.64158
16585,2.62271,1.70196,0.551497,0.070045,0.463588,0.44713,0,1.67253
16585,2.62438,1.70193,0.608429,0.068267,0.495587,0.462261,0,1.60809
16585,2.62638,1.70212,0.875549,0.092938,0.466913,0.451694,0,1.71
16585,2.62768,1.70187,0.230529,0.079831,0.457941,0.445594,0,1.96433
16585,2.62935,1.70184,0.602114,0.092801,0.454224,0.44676,0,1.28041
16585,2.63102,1.70182,0.601542,0.08584,0.458228,0.447237,0,1.673
16585,2.63266,1.70178,0.588343,0.068714,0.461951,0.443664,0,1.67253
16585,2.63433,1.70176,0.618786,0.07786,0.448962,0.441739,0,1.63535
16585,2.63604,1.70177,0.646109,0.096159,0.49838,0.435808,0,1.65788
16585,2.63768,1.70173,0.553032,0.07986,0.458968,0.445741,0,1.75562
16585,2.63936,1.70171,0.602719,0.088948,0.390936,0.437205,0,1.61787
16585,2.64102,1.70169,0.678517,0.090641,0.404955,0.443264,0,1.58897
16585,2.64405,1.70255,2.03145,0.078499,0.470268,1.0692,0,1.68781
16585,2.64579,1.70257,0.034182,0.079146,0.467879,0.451723,0,3.72893
16585,2.6469,1.70218,0.035732,0.079372,0.46006,0.449535,0,1.10795
16585,2.64798,1.70179,0.030553,0.077211,0.454438,0.44618,0,1.08913
16585,2.64931,1.70155,0.287311,0.085417,0.477448,0.462059,0,1.06975
16585,2.65096,1.70151,0.55227,0.070302,0.459345,0.44836,0,1.39453
16585,2.65264,1.7015,0.612033,0.088697,0.451189,0.449066,0,1.5983
16585,2.65434,1.7015,0.655032,0.079065,0.354747,0.349074,0,1.67356
16585,2.65597,1.70145,0.773698,0.090302,0.453173,0.444735,0,1.49375
16585,2.65762,1.70142,0.596073,0.086982,0.452508,0.431327,0,1.83806
16585,2.65932,1.70142,0.657815,0.090306,0.362717,0.438573,0,1.63417
16585,2.66118,1.70152,0.939635,0.066626,0.479266,0.456759,0,1.60252
16585,2.66261,1.70135,0.317785,0.081401,0.451784,0.399104,0,2.02945
16585,2.66427,1.70132,0.652133,0.08831,0.423878,0.432517,0,1.32476
16585,2.66594,1.70131,0.676038,0.090563,0.378822,0.367628,0,1.64768
16585,2.66763,1.70129,0.788522,0.089251,0.455088,0.435,0,1.57183
16585,2.66926,1.70125,0.580252,0.087208,0.45491,0.44023,0,1.84089
16585,2.67093,1.70123,0.61242,0.089598,0.472779,0.452509,0,1.6317
16585,2.67262,1.70122,0.604688,0.090962,0.461683,0.447829,0,1.70167
16585,2.67432,1.70122,0.622659,0.094003,0.459788,0.47305,0,1.67678
16585,2.67591,1.70115,0.493084,0.090738,0.451974,0.434159,0,1.72768
16585,2.67758,1.70113,0.618863,0.091487,0.454039,0.485723,0,1.5373
16585,2.68063,1.70198,1.90241,0.099578,0.463325,0.481573,0,1.7559
16585,2.68177,1.70163,0.033914,0.084336,0.451829,0.459628,0,3.02919
16585,2.68287,1.70125,0.03263,0.083806,0.488136,0.443725,0,1.09577
16585,2.68422,1.70103,0.281502,0.078589,0.460945,0.451564,0,1.11298
16585,2.68595,1.70104,0.649411,0.101183,0.447442,0.437551,0,1.33768
16585,2.68768,1.70107,0.572763,0.189959,1.04448,0.439109,0,1.72026
16585,2.68935,1.70105,0.02611,0.091804,0.461533,0.453243,0,2.31553
16585,2.69092,1.70096,0.480024,0.096997,0.445804,0.431167,0,1.107
16585,2.69257,1.70093,0.597553,0.093454,0.442554,0.439555,0,1.53419
16585,2.69419,1.70088,0.595124,0.074478,0.447677,0.44227,0,1.6436
16585,2.69591,1.70089,0.661028,0.095221,0.478262,0.446301,0,1.62856
16585,2.69753,1.70084,0.537279,0.080039,0.482,0.455451,0,1.76504
16585,2.6992,1.70082,0.566841,0.091864,0.445673,0.433329,0,1.62398
16585,2.70086,1.7008,0.624835,0.09172,0.453386,0.4235,0,1.60871
16585,2.70252,1.70077,0.619226,0.092904,0.439518,0.435559,0,1.66478
16585,2.70419,1.70075,0.631902,0.095765,0.608792,1.08533,0,1.65387
16585,2.70608,1.70087,0.02861,0.097527,0.605709,0.438371,0,2.49077
16585,2.70751,1.7007,0.221036,0.082884,0.436985,0.422751,0,1.24855
16585,2.70918,1.70067,0.643173,0.092078,0.430084,0.431205,0,1.23455
16585,2.71085,1.70066,0.645558,0.094668,0.40128,0.424843,0,1.66516
16585,2.7125,1.70063,0.668399,0.094601,0.379028,0.452925,0,1.63436
16585,2.71416,1.7006,0.666297,0.095767,0.916306,0.428926,0,1.66027
16585,2.7158,1.70056,0.166909,0.063765,1.11963,0.415471,0,2.17057
16585,2.71753,1.70058,0.029495,0.092513,0.486638,0.427572,0,1.83561
16585,2.71915,1.70053,0.545394,0.091206,0.441113,0.429068,0,1.10799
16585,2.7208,1.7005,0.627055,0.075577,0.439662,0.427022,0,1.58077
16585,2.72246,1.70048,0.64676,0.07438,0.4495,0.443681,0,1.64445
16585,2.72412,1.70045,0.624037,0.073702,0.466474,0.440449,0,1.68614
16585,2.72584,1.70046,0.628385,0.097246,0.45522,0.433534,0,1.68749
16585,2.72749,1.70043,0.60462,0.078397,0.45187,0.427217,0,1.69552
16585,2.72918,1.70042,0.655591,0.075404,0.447385,0.435309,0,1.63742
16585,2.73083,1.70039,0.617175,0.075502,0.452109,0.453015,0,1.68898
16585,2.73393,1.70127,2.04273,0.081863,0.454809,0.440381,0,1.67166
16585,2.73503,1.70089,0.036218,0.078872,0.445467,0.42304,0,3.10251
16585,2.73607,1.70048,0.030826,0.078506,0.435676,0.426698,0,1.05193
16585,2.73744,1.70027,0.356099,0.079047,0.446475,0.43902,0,1.03685
16585,2.73911,1.70026,0.657811,0.074202,0.444608,0.46703,0,1.38137
16585,2.74079,1.70024,0.606575,0.09281,0.445415,0.428703,0,1.70935
16585,2.74249,1.70024,0.660636,0.09617,0.440892,0.426746,0,1.64012
16585,2.74412,1.7002,0.606441,0.093643,0.441626,0.433948,0,1.69088
16585,2.74579,1.70018,0.634487,0.093147,0.44389,0.421054,0,1.63655
16585,2.74745,1.70016,0.616148,0.125405,0.440038,0.42985,0,1.65511
16585,2.74915,1.70016,0.58718,0.165726,0.432032,0.441163,0,1.68729
16585,2.7521,1.70093,1.87994,0.122632,0.371511,0.344336,0,1.69488
16585,2.75298,1.70042,0.028777,0.079066,0.352753,0.337975,0,2.77438
16585,2.75406,1.70004,0.260287,0.086301,0.351105,0.336972,0,0.846303
16585,2.75573,1.70002,0.844797,0.088015,0.367124,0.365326,0,1.0769
16585,2.7574,1.7,0.810045,0.091547,0.452148,0.441666,0,1.70857
16585,2.75912,1.70001,0.658702,0.093408,0.453716,0.422982,0,1.865
16585,2.76075,1.69997,0.58401,0.091269,0.445645,0.422119,0,1.7087
16585,2.76241,1.69995,0.625392,0.091174,0.442484,0.424731,0,1.62052
16585,2.76412,1.69995,0.668998,0.090089,0.444279,0.42954,0,1.66165
16585,2.76574,1.6999,0.577923,0.090773,0.455755,0.424176,0,1.71431
16585,2.76741,1.69988,0.618197,0.090653,0.437988,0.458879,0,1.62709
